Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason
2026-01-02,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Receipts,REC-20260102,50,BOM5,SELLABLE,
2026-01-05,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Shipments,ORD-111222333,−2,BOM5,SELLABLE,Customer Order
2026-01-06,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Shipments,ORD-111222334,−1,BOM5,SELLABLE,Customer Order
2026-01-08,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Adjustments,ADJ-W20260108,−3,BOM5,SELLABLE,Lost in Warehouse
2026-01-10,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Shipments,ORD-111222335,−1,BOM5,SELLABLE,Customer Order
2026-01-12,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Receipts,REC-20260112,30,DEL4,SELLABLE,
2026-01-14,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Shipments,ORD-222333444,−1,DEL4,SELLABLE,Customer Order
2026-01-15,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Adjustments,ADJ-D20260115,−2,DEL4,DEFECTIVE,Damaged in Warehouse
2026-01-16,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Shipments,ORD-222333445,−1,DEL4,SELLABLE,Customer Order
2026-01-18,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Customer Returns,RET-20260118,1,DEL4,CUSTOMER_DAMAGED,Customer Return
2026-01-20,X003GHI789,B0EXAMPLE3,SKU-CHARGER-003,65W Fast Charger USB-C,Receipts,REC-20260120,40,HYD3,SELLABLE,
2026-01-22,X003GHI789,B0EXAMPLE3,SKU-CHARGER-003,65W Fast Charger USB-C,Shipments,ORD-333444555,−2,HYD3,SELLABLE,Customer Order
2026-01-23,X003GHI789,B0EXAMPLE3,SKU-CHARGER-003,65W Fast Charger USB-C,Adjustments,ADJ-W20260123,−1,HYD3,SELLABLE,Lost in Warehouse
2026-01-25,X003GHI789,B0EXAMPLE3,SKU-CHARGER-003,65W Fast Charger USB-C,Shipments,ORD-333444556,−1,HYD3,SELLABLE,Customer Order
2026-01-28,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Adjustments,ADJ-D20260128,−1,BOM5,DEFECTIVE,Damaged in Warehouse
2026-01-30,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Shipments,ORD-111222340,−2,BOM5,SELLABLE,Customer Order
2026-02-01,X004JKL012,B0EXAMPLE4,SKU-STAND-004,Laptop Stand Aluminum,Receipts,REC-20260201,25,BOM5,SELLABLE,
2026-02-03,X004JKL012,B0EXAMPLE4,SKU-STAND-004,Laptop Stand Aluminum,Shipments,ORD-444555666,−1,BOM5,SELLABLE,Customer Order
2026-02-05,X004JKL012,B0EXAMPLE4,SKU-STAND-004,Laptop Stand Aluminum,Adjustments,ADJ-W20260205,−2,BOM5,SELLABLE,Lost in Warehouse
2026-02-07,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Customer Returns,RET-20260207,1,DEL4,SELLABLE,Customer Return
2026-02-08,X002DEF456,B0EXAMPLE2,SKU-EARBUDS-002,Wireless Earbuds Pro,Customer Returns,RET-20260208,1,DEL4,CUSTOMER_DAMAGED,Customer Return
2026-02-10,X001ABC123,B0EXAMPLE1,SKU-PHONE-001,Premium Phone Case - Black,Customer Returns,RET-20260210,1,BOM5,DEFECTIVE,Customer Return
